Категория: Все категории

Неделя,COVID-19: (По всему миру)
2020-03-01,11
2020-03-08,35
2020-03-15,77
2020-03-22,100
2020-03-29,92
2020-04-05,86
2020-04-12,75
2020-04-19,69
2020-04-26,64
2020-05-03,57
2020-05-10,56
2020-05-17,53
2020-05-24,49
2020-05-31,44
2020-06-07,45
2020-06-14,45
2020-06-21,50
2020-06-28,51
2020-07-05,52
2020-07-12,54
2020-07-19,51
2020-07-26,53
2020-08-02,59
2020-08-09,46
2020-08-16,43
2020-08-23,41
2020-08-30,41
2020-09-06,42
2020-09-13,43
2020-09-20,42
2020-09-27,45
2020-10-04,44
2020-10-11,45
2020-10-18,47
2020-10-25,53
2020-11-01,49
2020-11-08,54
2020-11-15,58
2020-11-22,52
2020-11-29,50
2020-12-06,52
2020-12-13,53
2020-12-20,59
2020-12-27,59
2021-01-03,62
2021-01-10,64
2021-01-17,58
2021-01-24,55
2021-01-31,51
2021-02-07,46
2021-02-14,46
2021-02-21,49
